user_id,area_type,num_people,avg_daily_hours,cylinder_size_kg,weather_influence,usual_duration_days,residence_type,cooking_frequency,primary_usage,weather_impact_type,guest_impact,days_since_install
1,0,1,0.5,5.0,2.0,30,0,4,1,1,3,110
2,2,1,1.0,5.0,3.0,60,0,4,3,0,1,105
3,2,3,5.0,5.0,3.0,20,2,2,0,0,0,64
4,2,6,0.5,37.5,2.0,20,1,3,1,0,0,79
7,2,5,1.5,12.5,3.0,30,0,2,4,0,1,69
9,1,2,0.5,12.5,1.0,60,2,1,2,1,1,94
11,1,5,0.5,37.5,1.0,45,2,1,2,1,0,75
13,1,6,2.0,12.5,2.0,20,2,1,3,2,0,86
14,1,5,1.5,5.0,3.0,45,2,1,3,2,1,62
15,1,1,0.5,37.5,1.0,20,2,2,0,0,1,63
16,1,3,0.5,12.5,2.0,45,2,3,2,2,2,62
17,1,4,4.0,5.0,2.0,20,1,2,3,2,1,92
18,1,4,1.5,5.0,3.0,60,1,1,0,0,0,82
20,1,6,0.5,37.5,1.0,20,0,3,4,0,3,79
22,2,2,5.0,37.5,2.0,20,1,3,1,0,2,74
23,2,2,3.0,12.5,1.0,20,1,2,3,1,3,64
24,2,6,3.0,5.0,2.0,10,1,1,0,0,2,90
27,0,4,3.0,37.5,1.0,45,2,2,1,2,0,103
28,1,4,4.0,5.0,1.0,30,2,4,4,1,0,72
29,0,1,2.0,5.0,1.0,45,1,4,2,0,2,83
30,0,5,3.0,12.5,1.0,45,1,1,0,1,2,86
31,0,3,3.0,12.5,1.0,10,1,4,0,0,3,87
32,2,3,2.0,5.0,1.0,30,1,3,2,0,1,95
33,0,6,1.5,12.5,3.0,60,2,3,2,2,1,82
34,1,1,0.5,12.5,3.0,45,2,4,2,0,1,97
35,1,6,3.0,37.5,1.0,45,0,3,2,2,3,77
37,2,2,5.0,37.5,1.0,20,1,1,2,2,2,80
42,1,3,2.0,5.0,2.0,20,0,2,0,2,1,95
44,2,2,4.0,37.5,1.0,30,2,3,3,0,2,91
45,2,1,3.0,12.5,3.0,45,1,2,2,2,0,116
47,1,1,1.0,5.0,3.0,45,0,2,0,0,0,102
48,2,3,1.0,12.5,3.0,45,0,1,1,2,0,88
49,1,2,1.0,5.0,1.0,45,0,2,1,1,0,84
50,1,3,2.0,12.5,3.0,20,1,2,0,2,3,107
52,2,2,1.0,5.0,3.0,10,2,3,1,0,2,108
54,0,4,2.0,5.0,2.0,30,1,2,4,1,2,66
55,0,2,0.5,5.0,3.0,60,0,2,3,2,1,87
57,0,3,5.0,12.5,3.0,60,1,3,0,1,2,76
59,1,1,4.0,5.0,2.0,60,1,3,4,0,2,63
60,1,6,1.0,12.5,2.0,45,2,2,3,0,2,88
61,0,3,3.0,37.5,3.0,10,2,2,4,0,3,95
63,0,6,0.5,5.0,2.0,45,1,1,4,2,1,109
64,2,1,2.0,12.5,2.0,30,2,1,2,2,3,93
65,0,4,4.0,5.0,2.0,60,0,2,1,1,3,106
66,2,3,1.0,37.5,1.0,60,1,1,3,0,3,89
68,0,4,0.5,5.0,2.0,30,1,1,4,0,0,114
69,0,1,5.0,5.0,1.0,10,0,3,1,0,1,106
70,2,1,1.0,5.0,2.0,10,0,2,3,1,1,67
72,0,6,2.0,37.5,1.0,30,2,2,3,0,3,82
74,1,5,5.0,37.5,2.0,60,0,1,2,0,0,68
75,2,1,5.0,12.5,1.0,45,1,2,2,0,3,79
76,0,1,3.0,37.5,2.0,10,1,1,1,1,1,73
77,1,3,0.5,37.5,1.0,60,1,1,4,1,1,120
79,0,2,3.0,12.5,3.0,30,0,1,3,1,3,95
81,0,5,3.0,37.5,2.0,20,1,3,3,1,2,108
82,2,3,2.0,12.5,3.0,60,1,4,1,1,2,85
84,1,1,2.0,5.0,2.0,45,1,1,3,1,0,94
